id;name;process;nutr-change-factor
61;apfel;reduced;0.92
62;aprikosen;reduced;0.91
63;artischocken;reduced;0.48
64;auberginen;reduced;0.83
65;avocado;reduced;0.75
66;bananen;reduced;0.67
67;batavia;reduced;0.9
68;birnen;reduced;0.93
69;bleichspargel;reduced;0.74
70;blumenkohl;reduced;0.62
71;broccoli;reduced;0.61
72;cicorino;reduced;0.89
73;eichblattsalat;reduced;0.68
74;eier;reduced;0.86
75;eier-freilandhaltung;reduced;0.86
76;einsiedlerkrebs;reduced;0.5
77;federkohl;reduced;0.51
78;grunspargel;reduced;0.85
79;gurken;reduced;0.74
80;hummer;reduced;0.35
81;johannisbeeren;reduced;0.98
82;karotten;reduced;0.81
83;kartoffeln;reduced;0.75
84;kefen ;reduced;0.94
85;kiwi;reduced;0.87
86;knoblauch;reduced;0.88
87;knollensellerie;reduced;0.73
88;kohlrabi;reduced;0.76
89;kopfsalat;reduced;0.68
90;kurbis;reduced;0.7
91;languste;reduced;0.5
92;lattich;reduced;0.68
93;lauch;reduced;0.58
94;limette;reduced;0.64
95;lollo;reduced;0.68
96;mandarinen;reduced;0.65
97;mango;reduced;0.75
98;mangold;reduced;0.81
99;melonen;reduced;0.8
100;muscheln ;reduced;0.45
101;nektarine;reduced;0.92
102;oliven ;reduced;0.8
103;orangen;reduced;0.72
104;pak-choi;reduced;0.79
105;pariserkarotten;reduced;0.81
106;passionsfrucht;reduced;0.75
107;pastinaken;reduced;0.74
108;peperoncini;reduced;0.77
109;peperoni;reduced;0.77
110;petersilienwurzel;reduced;0.6
111;pfifferlinge;reduced;0.8
112;pfirsich;reduced;0.92
113;pflaumen;reduced;0.94
114;pitaya;reduced;0.75
115;quitten;reduced;0.84
116;radieschen;reduced;0.63
117;randen;reduced;0.78
118;rettich;reduced;0.76
119;romanesco;reduced;0.62
120;rosenkohl;reduced;0.78
121;rotkohl;reduced;0.78
122;ruben;reduced;0.78
123;sauerkirschen;reduced;0.88
124;schalotte;reduced;0.58
125;schwarzwurzeln;reduced;0.56
126;spitzkohl;reduced;0.78
127;stangensellerie;reduced;0.63
128;steckruben;reduced;0.69
129;steinpilze;reduced;0.8
130;topinambur;reduced;0.75
131;trauben;reduced;0.96
132;trevisiosalat;reduced;0.89
133;waldpilze;reduced;0.8
134;weisskohl ;reduced;0.78
135;wirz;reduced;0.72
136;zitronen;reduced;0.64
137;zucchini;reduced;0.87
138;zuckerhut;reduced;0.89
139;zwetschgen;reduced;0.92
140;zwiebeln;reduced;0.92
141;champignongs;reduced;0.98
142;chicoree;reduced;0.89
143;chinakohl;reduced;0.79
144;endivie;reduced;0.77
145;eisbergsalat;reduced;0.9
146;erdbeeren;reduced;0.97
147;fenchel;reduced;0.93
148;grapefruit;reduced;0.66
